Airport Name,URL
Military airbases established in 1950,https://en.wikipedia.org/wiki/Category:Military_airbases_established_in_1950
Alert Airport,https://en.wikipedia.org/wiki/Alert_Airport
Amman Civil Airport,https://en.wikipedia.org/wiki/Amman_Civil_Airport
Baltimore/Washington International Airport,https://en.wikipedia.org/wiki/Baltimore/Washington_International_Airport
Block Island State Airport,https://en.wikipedia.org/wiki/Block_Island_State_Airport
Budapest Ferenc Liszt International Airport,https://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport
"Hamar Airport, Stafsberg","https://en.wikipedia.org/wiki/Hamar_Airport,_Stafsberg"
Hana Airport,https://en.wikipedia.org/wiki/Hana_Airport
Kuching International Airport,https://en.wikipedia.org/wiki/Kuching_International_Airport
Martinique Aimé Césaire International Airport,https://en.wikipedia.org/wiki/Martinique_Aim%C3%A9_C%C3%A9saire_International_Airport
Shannon Airport (Virginia),https://en.wikipedia.org/wiki/Shannon_Airport_(Virginia)
Winston Field Airport,https://en.wikipedia.org/wiki/Winston_Field_Airport
