City,Code,Airport,URL
Branson,BBG,Branson Airport,https://en.wikipedia.org/wiki/Branson_Airport
Columbia,COU,Columbia Regional Airport,https://en.wikipedia.org/wiki/Columbia_Regional_Airport
Fort Leonard Wood/Waynesville,TBN,Waynesville–St. Robert Regional Airport(Forney Field),https://en.wikipedia.org/wiki/Waynesville%E2%80%93St._Robert_Regional_Airport
Joplin,JLN,Joplin Regional Airport,https://en.wikipedia.org/wiki/Joplin_Regional_Airport
Kansas City,MCI,Kansas City International Airport(was Mid-Continent International),https://en.wikipedia.org/wiki/Kansas_City_International_Airport
St. Louis,STL,St. Louis Lambert International Airport,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport
Springfield,SGF,Springfield–Branson National Airport,https://en.wikipedia.org/wiki/Springfield%E2%80%93Branson_National_Airport
Cape Girardeau,CGI,Cape Girardeau Regional Airport,https://en.wikipedia.org/wiki/Cape_Girardeau_Regional_Airport
Kirksville,IRK,Kirksville Regional Airport,https://en.wikipedia.org/wiki/Kirksville_Regional_Airport
Kansas City,MKC,Charles B. Wheeler Downtown Airport(Kansas City Downtown),https://en.wikipedia.org/wiki/Charles_B._Wheeler_Downtown_Airport
Lee's Summit,LXT,Lee's Summit Municipal Airport,https://en.wikipedia.org/wiki/Lee%27s_Summit_Municipal_Airport
St. Charles,SET,St. Charles County Smartt Airport(Smartt Field),https://en.wikipedia.org/wiki/St._Charles_County_Smartt_Airport
St. Louis,1H0,Creve Coeur Airport,https://en.wikipedia.org/wiki/Creve_Coeur_Airport
St. Louis,SUS,Spirit of St. Louis Airport,https://en.wikipedia.org/wiki/Spirit_of_St._Louis_Airport
Aurora,2H2,Jerry Sumners Sr. Aurora Municipal Airport,https://en.wikipedia.org/wiki/Jerry_Sumners_Sr._Aurora_Municipal_Airport
Bolivar,M17,Bolivar Municipal Airport,https://en.wikipedia.org/wiki/Bolivar_Municipal_Airport
Boonville,VER,Jesse Viertel Memorial Airport(Jesse P. Viertel),https://en.wikipedia.org/wiki/Jesse_Viertel_Memorial_Airport
Bowling Green,H19,Bowling Green Municipal Airport,https://en.wikipedia.org/w/index.php?title=Bowling_Green_Municipal_Airport&action=edit&redlink=1
Branson West,FWB,Branson West Municipal Airport(Emerson Field),https://en.wikipedia.org/wiki/Branson_West_Airport
Brookfield,MO8,North Central Missouri Regional Airport,https://en.wikipedia.org/w/index.php?title=North_Central_Missouri_Regional_Airport&action=edit&redlink=1
Butler,BUM,Butler Memorial Airport,https://en.wikipedia.org/w/index.php?title=Butler_Memorial_Airport&action=edit&redlink=1
Cabool,TVB,Cabool Memorial Airport,https://en.wikipedia.org/w/index.php?title=Cabool_Memorial_Airport&action=edit&redlink=1
Camdenton,OZS,Camdenton Memorial-Lake Regional Airport,https://en.wikipedia.org/wiki/Camdenton_Memorial_Airport
Cameron,EZZ,Cameron Memorial Airport,https://en.wikipedia.org/wiki/Cameron_Memorial_Airport
Caruthersville,M05,Caruthersville Memorial Airport,https://en.wikipedia.org/w/index.php?title=Caruthersville_Memorial_Airport&action=edit&redlink=1
Cassville,94K,Cassville Municipal Airport,https://en.wikipedia.org/wiki/Cassville_Municipal_Airport_(Missouri)
Chillicothe,CHT,Chillicothe Municipal Airport,https://en.wikipedia.org/w/index.php?title=Chillicothe_Municipal_Airport&action=edit&redlink=1
Clinton,GLY,Clinton Regional Airport,https://en.wikipedia.org/w/index.php?title=Clinton_Regional_Airport_Missouri&action=edit&redlink=1
Cuba,UBX,Cuba Municipal Airport,https://en.wikipedia.org/w/index.php?title=Cuba_Municipal_Airport&action=edit&redlink=1
Dexter,DXE,Dexter Municipal Airport,https://en.wikipedia.org/w/index.php?title=Dexter_Municipal_Airport&action=edit&redlink=1
Eldon,H79,Eldon Model Airpark,https://en.wikipedia.org/w/index.php?title=Eldon_Model_Airpark&action=edit&redlink=1
Farmington,FAM,Farmington Regional Airport,https://en.wikipedia.org/wiki/Farmington_Regional_Airport
Fredericktown,H88,A. Paul Vance Fredericktown Regional Airport,https://en.wikipedia.org/wiki/A._Paul_Vance_Fredericktown_Regional_Airport
Fulton,FTT,Elton Hensley Memorial Airport,https://en.wikipedia.org/w/index.php?title=Elton_Hensley_Memorial_Airport&action=edit&redlink=1
Hannibal,HAE,Hannibal Regional Airport(was Hannibal Municipal),https://en.wikipedia.org/wiki/Hannibal_Regional_Airport
Harrisonville,LRY,Lawrence Smith Memorial Airport,https://en.wikipedia.org/wiki/Lawrence_Smith_Memorial_Airport
Higginsville,HIG,Higginsville Industrial Municipal Airport,https://en.wikipedia.org/w/index.php?title=Higginsville_Industrial_Municipal_Airport&action=edit&redlink=1
Houston,M48,Houston Memorial Airport,https://en.wikipedia.org/w/index.php?title=Houston_Memorial_Airport&action=edit&redlink=1
Jefferson City,JEF,Jefferson City Memorial Airport,https://en.wikipedia.org/wiki/Jefferson_City_Memorial_Airport
Kaiser/Lake Ozark,AIZ,Lee C. Fine Memorial Airport,https://en.wikipedia.org/wiki/Lee_C._Fine_Memorial_Airport
Kennett,TKX,Kennett Memorial Airport,https://en.wikipedia.org/wiki/Kennett_Memorial_Airport
Lamar,LLU,Lamar Municipal Airport,https://en.wikipedia.org/wiki/Lamar_Municipal_Airport_(Missouri)
Lebanon,LBO,Floyd W. Jones Lebanon Airport,https://en.wikipedia.org/wiki/Floyd_W._Jones_Lebanon_Airport
Linn,1H3,State Technical College of Missouri Airport,https://en.wikipedia.org/w/index.php?title=State_Technical_College_of_Missouri_Airport&action=edit&redlink=1
Macon,K89,Macon-Fower Memorial Airport,https://en.wikipedia.org/w/index.php?title=Macon-Fower_Memorial_Airport&action=edit&redlink=1
Malden,MAW,Malden Regional Airport(was Malden Municipal),https://en.wikipedia.org/wiki/Malden_Regional_Airport
Marshall,MHL,Marshall Memorial Municipal Airport,https://en.wikipedia.org/wiki/Marshall_Memorial_Municipal_Airport
Maryville,EVU,Northwest Missouri Regional Airport,https://en.wikipedia.org/wiki/Northwest_Missouri_Regional_Airport
Memphis,03D,Memphis Memorial Airport,https://en.wikipedia.org/w/index.php?title=Memphis_Memorial_Airport&action=edit&redlink=1
Mexico,MYJ,Mexico Memorial Airport,https://en.wikipedia.org/wiki/Mexico_Memorial_Airport
Moberly,MBY,Omar N. Bradley Airport,https://en.wikipedia.org/w/index.php?title=Omar_N._Bradley_Airport&action=edit&redlink=1
Monett,HFJ,Monett Municipal Airport,https://en.wikipedia.org/wiki/Monett_Municipal_Airport
Monticello,6M6,Lewis County Regional Airport,https://en.wikipedia.org/w/index.php?title=Lewis_County_Regional_Airport&action=edit&redlink=1
Mosby,GPH,Midwest National Air Center(was Clay County Regional),https://en.wikipedia.org/wiki/Midwest_National_Air_Center
Mountain Grove,1MO,Mountain Grove Memorial Airport,https://en.wikipedia.org/w/index.php?title=Mountain_Grove_Memorial_Airport&action=edit&redlink=1
Mountain View,MNF,Mountain View Airport,https://en.wikipedia.org/wiki/Mountain_View_Airport_(Missouri)
Neosho,EOS,Neosho Hugh Robinson Airport,https://en.wikipedia.org/wiki/Neosho_Hugh_Robinson_Airport
Nevada,NVD,Nevada Municipal Airport,https://en.wikipedia.org/w/index.php?title=Nevada_Municipal_Airport&action=edit&redlink=1
New Madrid,EIW,County Memorial Airport,https://en.wikipedia.org/w/index.php?title=County_Memorial_Airport&action=edit&redlink=1
Osage Beach,K15,Grand Glaize-Osage Beach Airport,https://en.wikipedia.org/w/index.php?title=Grand_Glaize-Osage_Beach_Airport&action=edit&redlink=1
Perryville,PCD,Perryville Regional Airport,https://en.wikipedia.org/wiki/Perryville_Municipal_Airport
Piedmont,PYN,Piedmont Municipal Airport,https://en.wikipedia.org/w/index.php?title=Piedmont_Municipal_Airport&action=edit&redlink=1
