City,Code,Airport,URL
Burlington,BTV,Patrick Leahy Burlington International Airport,https://en.wikipedia.org/wiki/Burlington_Vermont
Rutland,RUT,Rutland–Southern Vermont Regional Airport(was Rutland State),https://en.wikipedia.org/wiki/Rutland_(town)_Vermont
Barre/Montpelier,MPV,Edward F. Knapp State Airport,https://en.wikipedia.org/wiki/Barre_(city)_Vermont
Bennington,DDH,William H. Morse State Airport,https://en.wikipedia.org/wiki/Bennington_Vermont
Highgate,FSO,Franklin County State Airport,https://en.wikipedia.org/wiki/Highgate_Vermont
Lyndonville,CDA,Caledonia County Airport(was Caledonia County State),https://en.wikipedia.org/wiki/Lyndonville_Vermont
Middlebury,6B0,Middlebury State Airport,https://en.wikipedia.org/wiki/Middlebury_Vermont
Morrisville,MVL,Morrisville–Stowe State Airport,https://en.wikipedia.org/wiki/Morrisville_Vermont
Newport,EFK,Northeast Kingdom International Airport,https://en.wikipedia.org/wiki/Newport_(city)_Vermont
Post Mills,2B9,Post Mills Airport,https://en.wikipedia.org/wiki/Post_Mills_Vermont
Springfield,VSF,Hartness State (Springfield) Airport,https://en.wikipedia.org/wiki/Springfield_Vermont
Warren,0B7,Warren–Sugarbush Airport,https://en.wikipedia.org/wiki/Warren_Vermont
Island Pond,5B1,John H. Boylan State (Island Pond) Airport,https://en.wikipedia.org/wiki/Island_Pond_Vermont
Shelburne,VT8,Shelburne Airport,https://en.wikipedia.org/wiki/Shelburne_Vermont
Vergennes,B06,Basin Harbor Airport,https://en.wikipedia.org/wiki/Vergennes_Vermont
West Dover,4V8,Deerfield Valley Regional Airport(was Mount Snow),https://en.wikipedia.org/wiki/West_Dover_Vermont
Colchester,48VT,Cub Cove Seaplane Base,https://en.wikipedia.org/wiki/Colchester_Vermont
Burlington,,Fort Ethan Allen Army Airfield[1],https://en.wikipedia.org/wiki/Burlington_Vermont
Fair Haven,1B3,Fair Haven Municipal Airport(closed 2009?),https://en.wikipedia.org/wiki/Fair_Haven_Vermont
North Windham,3N3,Robin's Nest Airport(North Windham Airport)(closed 2001?)[2][3],https://en.wikipedia.org/wiki/Londonderry_Vermont
Windsor,,Miller Airport(closed 1984–1988)[4],https://en.wikipedia.org/wiki/Windsor_Vermont
